scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1177,1,0.253,88.02,0.00,0.00
question,WebQTest-1178,1,0.322,90.51,0.00,0.00
question,WebQTest-1179,1,0.288,87.14,0.00,0.00
question,WebQTest-118,1,0.235,54.70,0.00,0.00
question,WebQTest-1180,1,0.219,55.18,0.00,0.00
question,WebQTest-1181,1,0.147,26.48,0.00,0.00
question,WebQTest-1183,1,0.306,84.40,0.00,0.00
question,WebQTest-1185,1,0.341,120.23,0.00,0.00
question,WebQTest-1186,1,0.219,59.58,0.00,0.00
question,WebQTest-1187,1,0.427,118.34,0.00,0.00
question,WebQTest-1189,1,0.200,57.82,0.00,0.00
question,WebQTest-119,1,0.218,59.03,0.00,0.00
question,WebQTest-1191,1,0.187,57.28,0.00,0.00
question,WebQTest-1192,1,0.572,151.22,0.00,0.00
question,WebQTest-1194,1,0.201,59.42,0.00,0.00
question,WebQTest-1195,1,0.219,58.98,0.00,0.00
question,WebQTest-1197,1,0.218,56.20,0.00,0.00
question,WebQTest-1198,1,0.289,90.63,0.00,0.00
question,WebQTest-1199,1,0.306,89.78,0.00,0.00
question,WebQTest-12,1,0.281,66.36,0.00,0.00
question,WebQTest-1200,1,0.236,58.80,0.00,0.00
question,WebQTest-1201,1,0.236,61.32,0.00,0.00
question,WebQTest-1203,1,0.253,59.03,0.00,0.00
question,WebQTest-1204,1,0.236,88.57,0.00,0.00
question,WebQTest-1205,1,0.218,59.22,0.00,0.00
question,WebQTest-1206,1,0.988,270.02,0.00,0.00
question,WebQTest-1208,1,0.411,119.06,0.00,0.00
question,WebQTest-1209,1,0.219,56.42,0.00,0.00
question,WebQTest-121,1,0.208,58.78,0.00,0.00
question,WebQTest-1210,1,0.201,59.06,0.00,0.00
question,WebQTest-1212,1,0.259,90.11,0.00,0.00
question,WebQTest-1213,1,0.200,55.71,0.00,0.00
question,WebQTest-1215,1,0.761,214.16,0.00,0.00
question,WebQTest-1216,1,0.235,89.24,0.00,0.00
question,WebQTest-1217,1,0.201,59.11,0.00,0.00
question,WebQTest-1219,1,0.214,59.02,0.00,0.00
question,WebQTest-122,1,0.183,29.01,0.00,0.00
question,WebQTest-1220,1,0.419,119.10,0.00,0.00
question,WebQTest-1221,1,0.214,58.31,0.00,0.00
question,WebQTest-1223,1,0.198,59.30,0.00,0.00
question,WebQTest-1225,1,0.214,58.96,0.00,0.00
question,WebQTest-1226,1,0.248,87.78,0.00,0.00
question,WebQTest-1227,1,0.145,27.82,0.00,0.00
question,WebQTest-1228,1,0.232,58.65,0.00,0.00
question,WebQTest-1229,1,0.214,56.36,0.00,0.00
question,WebQTest-123,1,0.700,207.53,0.00,0.00
question,WebQTest-1230,1,0.696,212.57,0.00,0.00
question,WebQTest-1231,1,0.248,88.18,0.00,0.00
question,WebQTest-1232,1,0.234,59.07,0.00,0.00
question,WebQTest-1233,1,0.284,88.41,0.00,0.00
question,WebQTest-1234,1,0.190,54.04,0.00,0.00
question,WebQTest-1235,1,0.370,91.05,0.00,0.00
question,WebQTest-1237,1,-0.868,59.48,0.00,0.00
question,WebQTest-1238,1,0.232,92.01,0.00,0.00
question,WebQTest-1239,1,0.248,56.66,0.00,0.00
question,WebQTest-124,1,0.201,53.42,0.00,0.00
question,WebQTest-1240,1,0.150,53.33,0.00,0.00
question,WebQTest-1241,1,0.302,89.94,0.00,0.00
question,WebQTest-1242,1,1.370,403.75,0.00,0.00
question,WebQTest-1244,1,0.884,273.40,0.00,0.00
question,WebQTest-1245,1,0.148,26.40,0.00,0.00
question,WebQTest-1246,1,0.239,53.41,0.00,0.00
question,WebQTest-1247,1,0.392,120.61,0.00,0.00
question,WebQTest-1248,1,0.504,150.13,0.00,0.00
question,WebQTest-1249,1,0.217,58.94,0.00,0.00
question,WebQTest-125,1,0.278,85.77,0.00,0.00
question,WebQTest-1250,1,0.236,88.16,0.00,0.00
question,WebQTest-1251,1,0.781,216.09,0.00,0.00
question,WebQTest-1252,1,0.206,53.03,0.00,0.00
question,WebQTest-1254,1,0.241,53.17,0.00,0.00
question,WebQTest-1255,1,0.235,88.92,0.00,0.00
question,WebQTest-1256,1,0.202,59.02,0.00,0.00
question,WebQTest-1257,1,0.623,184.34,0.00,0.00
question,WebQTest-1259,1,1.010,304.53,0.00,0.00
question,WebQTest-126,1,0.272,57.42,0.00,0.00
question,WebQTest-1260,1,0.237,59.19,0.00,0.00
question,WebQTest-1261,1,0.202,57.04,0.00,0.00
question,WebQTest-1262,1,0.200,58.13,0.00,0.00
question,WebQTest-1263,1,0.202,59.71,0.00,0.00
question,WebQTest-1264,1,0.219,58.99,0.00,0.00
question,WebQTest-1265,1,0.315,87.00,0.00,0.00
question,WebQTest-1266,1,0.255,59.09,0.00,0.00
question,WebQTest-1267,1,0.236,89.78,0.00,0.00
question,WebQTest-1268,1,0.275,53.64,0.00,0.00
question,WebQTest-1269,1,0.220,91.71,0.00,0.00
question,WebQTest-127,1,0.217,88.83,0.00,0.00
question,WebQTest-1270,1,0.276,58.87,0.00,0.00
question,WebQTest-1271,1,0.237,59.00,0.00,0.00
question,WebQTest-1272,1,0.237,61.57,0.00,0.00
question,WebQTest-1274,1,0.149,27.85,0.00,0.00
question,WebQTest-1275,1,0.201,57.87,0.00,0.00
question,WebQTest-1276,1,0.553,184.48,0.00,0.00
question,WebQTest-1277,1,0.482,115.75,0.00,0.00
question,WebQTest-1278,1,0.781,246.84,0.00,0.00
question,WebQTest-1279,1,0.206,59.43,0.00,0.00
question,WebQTest-128,1,0.257,56.28,0.00,0.00
question,WebQTest-1280,1,0.242,59.27,0.00,0.00
question,WebQTest-1281,1,0.205,57.70,0.00,0.00
question,WebQTest-1282,1,0.242,59.17,0.00,0.00
question,WebQTest-1284,1,0.698,211.90,0.00,0.00
question,WebQTest-1285,1,0.206,56.66,0.00,0.00
question,WebQTest-1287,1,0.241,58.41,0.00,0.00
question,WebQTest-1289,1,0.210,53.61,0.00,0.00
question,WebQTest-129,1,0.323,86.21,0.00,0.00
question,WebQTest-1291,1,0.188,55.77,0.00,0.00
question,WebQTest-1292,1,0.295,56.56,0.00,0.00
question,WebQTest-1293,1,0.207,57.13,0.00,0.00
question,WebQTest-1294,1,0.205,58.66,0.00,0.00
question,WebQTest-1295,1,0.152,60.34,0.00,0.00
question,WebQTest-1296,1,0.381,89.19,0.00,0.00
