scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-235,1474,34.664,10147.42,0.00,0.00
question,WebQTest-237,399,23.494,7324.03,0.00,0.00
question,WebQTest-238,477,14.748,4494.22,0.00,0.00
question,WebQTest-239,5,2.575,849.88,0.00,0.00
question,WebQTest-24,6,2.422,781.73,0.00,0.00
question,WebQTest-240,18,4.314,1399.75,0.00,0.00
question,WebQTest-241,1143,35.042,10490.98,0.00,0.00
question,WebQTest-243,14,4.500,1476.57,0.00,0.00
question,WebQTest-245,5,2.569,853.00,0.00,0.00
question,WebQTest-246,7,3.484,1157.09,0.00,0.00
question,WebQTest-247,33,14.474,4900.42,0.00,0.00
question,WebQTest-248,24,12.979,4367.62,0.00,0.00
question,WebQTest-249,6,2.357,783.84,0.00,0.00
question,WebQTest-250,6,2.884,1012.67,0.00,0.00
question,WebQTest-251,6,2.552,849.21,0.00,0.00
question,WebQTest-252,13,4.266,1370.51,0.00,0.00
question,WebQTest-253,15,8.760,3014.47,0.00,0.00
question,WebQTest-254,7,3.252,1059.31,0.00,0.00
question,WebQTest-255,24,4.403,1433.68,0.00,0.00
question,WebQTest-256,7,3.347,1089.72,0.00,0.00
question,WebQTest-257,39,10.087,3320.28,0.00,0.00
question,WebQTest-258,41,13.456,4403.06,0.00,0.00
question,WebQTest-26,7,4.976,1640.01,0.00,0.00
question,WebQTest-260,6,2.682,877.58,0.00,0.00
question,WebQTest-261,16,6.438,2091.91,0.00,0.00
question,WebQTest-262,35,6.698,2173.35,0.00,0.00
question,WebQTest-264,6,2.529,863.43,0.00,0.00
question,WebQTest-265,6,3.507,1167.30,0.00,0.00
question,WebQTest-266,6,4.054,1358.75,0.00,0.00
question,WebQTest-267,41,13.884,4526.17,0.00,0.00
question,WebQTest-268,5,2.685,906.22,0.00,0.00
question,WebQTest-269,6,2.348,789.44,0.00,0.00
question,WebQTest-270,6,3.622,1222.88,0.00,0.00
question,WebQTest-271,241,61.071,20346.43,0.00,0.00
question,WebQTest-273,339,21.945,7054.18,0.00,0.00
question,WebQTest-276,13,5.608,1806.96,0.00,0.00
question,WebQTest-277,14,4.413,1466.55,0.00,0.00
question,WebQTest-278,23,4.491,1460.74,0.00,0.00
question,WebQTest-279,7,2.792,896.12,0.00,0.00
question,WebQTest-28,13,3.504,1104.56,0.00,0.00
question,WebQTest-281,14,5.087,1697.33,0.00,0.00
question,WebQTest-282,104,36.011,11710.04,0.00,0.00
question,WebQTest-284,50,23.000,7509.68,0.00,0.00
question,WebQTest-286,14,4.401,1413.90,0.00,0.00
question,WebQTest-287,64,8.936,2890.04,0.00,0.00
question,WebQTest-289,5,2.443,795.34,0.00,0.00
question,WebQTest-291,143,6.550,2033.14,0.00,0.00
question,WebQTest-294,68,26.037,8520.18,0.00,0.00
question,WebQTest-295,5,3.080,1061.20,0.00,0.00
question,WebQTest-296,5,2.685,910.06,0.00,0.00
question,WebQTest-297,28,10.621,3511.92,0.00,0.00
question,WebQTest-298,7,3.180,1058.55,0.00,0.00
question,WebQTest-3,1185,11.412,2422.19,0.00,0.00
question,WebQTest-300,89,42.335,13149.34,0.00,0.00
question,WebQTest-301,1330,62.253,16975.36,0.00,0.00
question,WebQTest-302,6,2.420,786.72,0.00,0.00
question,WebQTest-303,13,4.409,1438.97,0.00,0.00
question,WebQTest-304,6,2.583,857.72,0.00,0.00
question,WebQTest-305,14,4.251,1362.48,0.00,0.00
question,WebQTest-306,122,11.047,3467.95,0.00,0.00
question,WebQTest-308,15,4.338,1428.87,0.00,0.00
question,WebQTest-31,2117,45.956,13118.41,0.00,0.00
question,WebQTest-310,6,2.609,875.93,0.00,0.00
question,WebQTest-311,12,3.759,1221.91,0.00,0.00
question,WebQTest-312,24,4.384,1409.78,0.00,0.00
question,WebQTest-313,40,12.453,4052.98,0.00,0.00
question,WebQTest-314,5,3.148,1085.07,0.00,0.00
question,WebQTest-315,1071,38.833,12339.45,0.00,0.00
question,WebQTest-316,61,22.807,7475.59,0.00,0.00
question,WebQTest-317,357,48.472,15739.19,0.00,0.00
question,WebQTest-318,6,2.509,849.79,0.00,0.00
question,WebQTest-32,5,3.237,1038.75,0.00,0.00
question,WebQTest-321,7,3.268,1136.01,0.00,0.00
question,WebQTest-322,34,5.421,1731.30,0.00,0.00
question,WebQTest-323,6,4.883,1602.25,0.00,0.00
question,WebQTest-326,6,2.536,829.58,0.00,0.00
question,WebQTest-327,11,6.037,2005.37,0.00,0.00
question,WebQTest-328,14,4.066,1324.15,0.00,0.00
question,WebQTest-329,48,22.838,7472.82,0.00,0.00
question,WebQTest-33,116,36.580,10565.40,0.00,0.00
question,WebQTest-331,6,4.144,1367.81,0.00,0.00
question,WebQTest-333,121,22.166,7095.38,0.00,0.00
question,WebQTest-334,44,13.460,4476.43,0.00,0.00
question,WebQTest-335,6,2.739,903.46,0.00,0.00
question,WebQTest-336,6,2.427,853.75,0.00,0.00
question,WebQTest-337,40,15.292,5041.34,0.00,0.00
question,WebQTest-338,6,2.650,927.20,0.00,0.00
question,WebQTest-339,5,2.333,761.13,0.00,0.00
question,WebQTest-34,90,29.663,9498.62,0.00,0.00
question,WebQTest-340,7,2.933,959.76,0.00,0.00
question,WebQTest-341,79,31.359,10465.97,0.00,0.00
question,WebQTest-342,6,3.871,1262.34,0.00,0.00
question,WebQTest-343,128,34.930,11421.65,0.00,0.00
question,WebQTest-344,6,2.404,777.79,0.00,0.00
question,WebQTest-346,797,14.563,4050.42,0.00,0.00
question,WebQTest-347,7,5.290,1734.46,0.00,0.00
question,WebQTest-349,46,12.039,3901.78,0.00,0.00
question,WebQTest-35,6,2.400,780.35,0.00,0.00
question,WebQTest-351,6,2.278,730.96,0.00,0.00
question,WebQTest-352,6,2.786,928.18,0.00,0.00
question,WebQTest-353,324,17.536,5549.33,0.00,0.00
question,WebQTest-354,7,3.052,1016.68,0.00,0.00
question,WebQTest-356,50,19.320,5619.16,0.00,0.00
question,WebQTest-359,47,12.886,4240.15,0.00,0.00
question,WebQTest-36,17,4.768,1543.50,0.00,0.00
question,WebQTest-360,476,35.374,11386.55,0.00,0.00
question,WebQTest-361,6,5.262,1741.96,0.00,0.00
question,WebQTest-362,7,3.916,1297.41,0.00,0.00
question,WebQTest-365,6,3.670,1214.40,0.00,0.00
question,WebQTest-366,6,3.044,1028.37,0.00,0.00
question,WebQTest-367,841,34.213,10451.50,0.00,0.00
question,WebQTest-37,4,2.149,706.15,0.00,0.00
question,WebQTest-370,6,2.793,942.35,0.00,0.00
question,WebQTest-371,5,2.662,917.12,0.00,0.00
question,WebQTest-374,7,3.414,1118.43,0.00,0.00
question,WebQTest-375,18,9.430,3146.78,0.00,0.00
question,WebQTest-376,7,12.665,4223.70,0.00,0.00
question,WebQTest-377,14,4.210,1365.80,0.00,0.00
question,WebQTest-379,5,2.621,878.72,0.00,0.00
question,WebQTest-38,19,9.084,2942.85,0.00,0.00
