t,gpu0_w
1786064518.195,312.962
1786064518.296,312.741
1786064518.396,312.713
1786064518.497,312.563
1786064518.597,312.506
1786064518.697,312.125
1786064518.798,312.107
1786064518.898,308.521
1786064518.999,313.289
1786064519.099,313.459
1786064519.200,313.366
1786064519.300,313.386
1786064519.401,313.52
1786064519.501,313.557
1786064519.601,313.568
1786064519.702,313.658
1786064519.802,313.674
1786064519.903,311.419
1786064520.003,316.956
1786064520.103,316.949
1786064520.204,316.792
1786064520.304,316.494
1786064520.405,311.67
1786064520.505,326.009
1786064520.606,337.309
1786064520.706,347.311
1786064520.806,347.412
1786064520.907,347.647
1786064521.007,350.088
1786064521.108,348.118
1786064521.208,348.283
1786064521.308,347.976
1786064521.409,348.188
1786064521.509,353.227
1786064521.610,340.144
1786064521.710,328.168
1786064521.811,318.334
1786064521.911,318.358
1786064522.012,318.261
1786064522.112,318.199
1786064522.212,318.355
1786064522.313,304.316
1786064522.419,285.266
1786064522.520,265.62
1786064522.621,245.855
1786064522.721,225.892
1786064522.822,205.882
1786064522.922,185.874
1786064523.023,165.927
1786064523.123,146.087
1786064523.223,126.136
1786064523.324,106.31
1786064523.425,100.316
1786064523.525,99.831
1786064523.625,99.227
1786064523.726,116.282
1786064523.826,136.078
1786064523.926,155.84
1786064524.027,175.613
1786064524.127,195.611
1786064524.227,215.431
1786064524.328,235.238
1786064524.428,254.907
1786064524.528,274.728
1786064524.628,294.69
1786064524.729,314.887
1786064524.829,317.581
1786064524.929,317.746
1786064525.029,318.064
1786064525.130,318.125
1786064525.230,317.994
1786064525.330,302.047
1786064525.430,281.798
1786064525.531,296.104
1786064525.631,301.145
1786064525.731,301.017
1786064525.831,301.013
1786064525.932,299.22
1786064526.032,300.918
1786064526.132,300.561
1786064526.233,300.619
1786064526.333,300.577
1786064526.433,316.294
1786064526.533,322.624
1786064526.634,317.509
1786064526.734,318.935
1786064526.834,332.952
1786064526.934,333.616
1786064527.035,333.805
1786064527.135,333.865
1786064527.235,333.732
1786064527.335,333.569
1786064527.435,333.799
1786064527.536,333.729
1786064527.636,333.78
1786064527.736,333.845
1786064527.836,332.533
1786064527.937,313.861
1786064528.037,326.407
1786064528.137,342.802
1786064528.237,353.223
1786064528.338,356.703
1786064528.438,356.851
1786064528.538,357.277
1786064528.639,357.326
1786064528.739,357.31
1786064528.839,357.407
1786064528.939,357.317
1786064529.040,362.199
1786064529.140,349.07
1786064529.240,334.733
1786064529.340,322.186
1786064529.441,318.568
1786064529.541,318.801
1786064529.641,313.754
1786064529.741,313.686
1786064529.842,313.707
1786064529.942,313.626
1786064530.042,313.603
1786064530.142,313.325
1786064530.243,313.17
1786064530.343,313.05
1786064530.443,312.995
1786064530.543,313.098
1786064530.644,313.978
1786064530.744,331.255
1786064530.844,330.758
1786064530.944,330.796
1786064531.045,330.758
1786064531.145,330.808
1786064531.245,330.887
1786064531.345,330.898
1786064531.446,331.078
1786064531.546,331.021
1786064531.646,331.183
1786064531.746,330.069
1786064531.847,317.479
1786064531.947,314.108
1786064532.047,312.946
1786064532.147,312.968
1786064532.248,312.853
1786064532.348,312.839
1786064532.448,312.614
1786064532.548,312.624
1786064532.649,312.657
1786064532.749,312.541
1786064532.849,312.635
1786064532.949,312.538
1786064533.050,316.316
1786064533.150,317.2
1786064533.250,317.133
1786064533.350,317.351
1786064533.451,314.959
1786064533.551,315.22
1786064533.651,315.096
1786064533.751,315.26
1786064533.852,315.54
1786064533.952,315.475
1786064534.052,315.623
1786064534.152,315.767
1786064534.253,315.999
1786064534.353,316.14
1786064534.453,315.907
1786064534.553,318.41
1786064534.654,318.525
1786064534.754,313.508
1786064534.854,313.336
1786064534.954,313.249
1786064535.055,313.214
1786064535.155,313.133
1786064535.255,313.04
1786064535.355,312.98
1786064535.456,312.804
1786064535.556,312.963
1786064535.656,312.872
1786064535.756,312.876
1786064535.857,312.077
1786064535.957,307.529
1786064536.057,307.504
1786064536.157,307.601
1786064536.258,307.538
1786064536.358,307.61
1786064536.458,307.502
1786064536.559,307.769
1786064536.659,307.954
1786064536.759,308.098
1786064536.860,308.111
1786064536.960,314.175
1786064537.060,318.847
1786064537.160,318.821
1786064537.261,318.851
1786064537.361,319.029
1786064537.461,318.942
1786064537.561,319.035
1786064537.662,318.925
1786064537.762,318.811
1786064537.862,318.757
1786064537.962,318.984
1786064538.063,318.852
1786064538.163,315.138
1786064538.263,315.038
1786064538.363,314.904
1786064538.464,314.784
1786064538.564,314.752
1786064538.664,314.723
1786064538.764,314.869
1786064538.865,314.834
1786064538.965,314.73
1786064539.065,312.675
1786064539.165,309.74
1786064539.266,313.425
1786064539.366,313.556
1786064539.466,313.566
1786064539.566,313.633
1786064539.667,313.817
1786064539.767,314.006
1786064539.867,313.958
1786064539.968,314.033
1786064540.068,314.167
1786064540.168,315.968
1786064540.268,318.758
1786064540.368,318.756
1786064540.469,316.479
1786064540.570,316.452
1786064540.670,316.428
1786064540.771,316.437
1786064540.871,316.252
1786064540.972,316.1
1786064541.073,316.037
1786064541.173,316.03
1786064541.273,309.363
1786064541.374,323.142
1786064541.475,336.312
1786064541.575,354.24
1786064541.676,368.177
1786064541.777,377.958
1786064541.877,378.124
1786064541.978,384.679
1786064542.078,378.57
1786064542.179,378.524
1786064542.279,378.432
1786064542.380,385.346
1786064542.480,371.494
1786064542.581,358.017
1786064542.682,342.187
1786064542.782,328.658
1786064542.883,318.908
1786064542.984,318.735
1786064543.084,318.231
1786064543.184,307.89
1786064543.285,287.561
1786064543.385,271.629
1786064543.486,285.094
1786064543.586,281.994
1786064543.687,285.063
1786064543.788,285.097
1786064543.888,284.669
1786064543.989,284.597
1786064544.089,284.462
1786064544.190,284.666
1786064544.290,295.011
1786064544.391,313.346
1786064544.491,308.859
1786064544.592,274.516
1786064544.692,275.074
1786064544.793,289.375
1786064544.894,303.806
1786064544.994,320.429
1786064545.095,332.514
1786064545.195,347.681
1786064545.296,357.034
1786064545.396,357.453
1786064545.497,359.665
1786064545.597,380.068
1786064545.697,400.616
1786064545.798,400.482
1786064545.898,386.39
1786064545.998,372.037
1786064546.098,356.246
1786064546.198,343.998
1786064546.299,328.991
1786064546.399,319.578
1786064546.499,319.371
1786064546.599,319.212
1786064546.700,314.654
1786064546.800,314.654
1786064546.900,314.222
1786064547.000,314.235
1786064547.101,314.153
1786064547.201,313.932
1786064547.301,313.781
1786064547.401,313.664
1786064547.501,313.588
1786064547.602,313.273
