scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1178_09e61020934818b85641a22821e7a455,1,1.186,377.70,0.00,0.00
question,WebQTest-1178_4b7058a69c5eb71df36a89837b1e4f60,1,1.230,375.28,0.00,0.00
question,WebQTest-1178_9ddd77154bbd5aa55ea6b7d543dceaac,1,1.528,474.20,0.00,0.00
question,WebQTest-1178_b09c00219764b4f102d325a00e808259,1,1.230,376.12,0.00,0.00
question,WebQTest-1178_bef1a23164be79d6626c67a50fd6f3f5,1,1.139,343.48,0.00,0.00
question,WebQTest-1178_e1d81a60b5954aea1f4417696d8cf733,1,1.014,315.08,0.00,0.00
question,WebQTest-1200_374aac68297f3bd9113db011a9d8fe63,1,1.032,310.54,0.00,0.00
question,WebQTest-1200_fc02976fc922fe099524d60306f45766,1,0.715,217.17,0.00,0.00
question,WebQTest-1200_ff2d4334c998533d71c0b0c8e6989103,1,1.071,312.85,0.00,0.00
question,WebQTest-1216_70d51724a4507fc0f35060eb2a65ce68,1,1.836,564.09,0.00,0.00
question,WebQTest-1216_761d625d144016a4f8b1857f93328727,1,1.083,344.05,0.00,0.00
question,WebQTest-1216_7b3bbe0291752d176e791ab0a47111f5,1,0.716,186.52,0.00,0.00
question,WebQTest-1216_a3377a8eb739f84daa945ee91b90f10b,1,2.151,664.65,0.00,0.00
question,WebQTest-1216_ccea58cf2c1e0cddd28bd1ed6cb710fe,1,1.475,439.54,0.00,0.00
question,WebQTest-121_333b95bd45af3e6e31e328bc8c24d84f,1,1.349,400.99,0.00,0.00
question,WebQTest-1234_279eccdaed54f8d3746c5897f5d30c51,1,0.675,185.61,0.00,0.00
question,WebQTest-1234_30d15cd8eab212bd2dc808a29bc6dc27,1,1.262,371.95,0.00,0.00
question,WebQTest-1234_5d4f19710445c6dcee021e0282b06e1d,1,0.752,217.21,0.00,0.00
question,WebQTest-1234_840083e6d7f8b9c24c7893c2fa6c203a,1,1.103,306.43,0.00,0.00
question,WebQTest-1251_060135e66e84cbaa29a73145435c5457,1,0.836,252.46,0.00,0.00
question,WebQTest-1251_06b52905bde59492048929d1073ea985,1,1.257,378.31,0.00,0.00
question,WebQTest-1251_0907650c2f3bdb7dac0659c134a7547d,1,1.366,407.94,0.00,0.00
question,WebQTest-1251_128642d73ca29b533dcf6eb1ae0bfa36,1,0.943,279.98,0.00,0.00
question,WebQTest-1251_376c8faeba1d098426ae34c3ab07f824,1,1.047,313.79,0.00,0.00
question,WebQTest-1251_511bd525679543572c53fa9c5befd3c4,1,0.931,277.31,0.00,0.00
question,WebQTest-1251_5cb49417d744150fabe3bf8a60f0625e,1,0.751,214.25,0.00,0.00
question,WebQTest-1251_70eea8afa2d8d70c694402c9f77b40d1,1,0.835,250.56,0.00,0.00
question,WebQTest-1251_75d0c1249a67e28c09e4c54530982ff6,1,1.918,596.27,0.00,0.00
question,WebQTest-1251_88e00458cad669a0d01644cdd6029157,1,1.097,308.62,0.00,0.00
question,WebQTest-1251_9b403279ce33759325317d9de5030d6b,1,0.888,282.45,0.00,0.00
question,WebQTest-1251_9d422f19ab24972365b32f78f455c1c6,1,1.089,339.32,0.00,0.00
question,WebQTest-1251_a553eb5e07386462e43819468c549c5d,1,0.825,244.58,0.00,0.00
question,WebQTest-1251_c3e8ad52fe91586a25628b12feb00f7d,1,0.891,282.38,0.00,0.00
question,WebQTest-1251_cb535b26088aa7a8cf49a7aba65ef3d3,1,0.915,269.92,0.00,0.00
question,WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,1,0.790,212.77,0.00,0.00
question,WebQTest-1251_cf6cc4cc9ed790243a390f155ae72256,1,1.499,465.03,0.00,0.00
question,WebQTest-1251_d08336daa754523cf13934359b794632,1,0.763,218.63,0.00,0.00
question,WebQTest-1251_d758ce1307c52d650955c697a07792f0,1,0.769,249.69,0.00,0.00
question,WebQTest-1251_dd9813281934463d55e5452175212740,1,0.991,314.44,0.00,0.00
question,WebQTest-1251_dfb6c97ac9bf2f0ac07f27dd80f9edc2,1,1.599,472.83,0.00,0.00
question,WebQTest-1251_e0133b074487245b89f042f1b8e39568,1,0.951,278.70,0.00,0.00
question,WebQTest-1251_f6e8b7149f2e422640a49beb753be4ef,1,0.797,251.49,0.00,0.00
question,WebQTest-1260_018dc0c070e53555fa37f63d4b83ca87,1,1.085,310.76,0.00,0.00
question,WebQTest-1260_5dd0eeca79ae03b7711252c032849eb2,1,0.804,249.88,0.00,0.00
question,WebQTest-1260_6b1c0c0fb24a34937f450fdc16a3387b,1,0.408,472.75,0.00,0.00
question,WebQTest-1260_8c90d5499a627a3478313407b1404ecf,1,0.892,250.79,0.00,0.00
question,WebQTest-1260_8d86dc5e03446f0e50fd69bc06ae0658,1,0.395,469.21,0.00,0.00
question,WebQTest-1260_a65373d6ffaa966c347087864c895897,1,0.839,248.03,0.00,0.00
question,WebQTest-1260_c4e06c3a9e4b4f10bd1ae97f1742c198,1,0.996,308.71,0.00,0.00
question,WebQTest-1260_d95da5fb8a16d81fe56cd4ce00843254,1,0.805,217.00,0.00,0.00
question,WebQTest-1282_29d667144c10743ecdb31fccce932cdd,1,1.025,316.09,0.00,0.00
question,WebQTest-1289_0418d3a7dafa31d4a8c99233f8b93fc2,1,1.013,280.81,0.00,0.00
question,WebQTest-1289_104f814ab1b9df67d3e07b2912c529ae,1,1.387,405.80,0.00,0.00
question,WebQTest-1289_27f6987805010183edbeba6b91a3cafd,1,1.153,345.78,0.00,0.00
question,WebQTest-1289_8a238190e594aae1c355581cda553fc3,1,1.490,439.93,0.00,0.00
question,WebQTest-1289_eea3b29de80d4fe1cf49b0bf676e4b42,1,0.908,283.21,0.00,0.00
question,WebQTest-12_0267745d7968252ff8fbf5246c9287e9,1,1.878,602.92,0.00,0.00
question,WebQTest-12_3c5c69e3800f38649fbe7828895879e8,1,1.561,471.60,0.00,0.00
question,WebQTest-12_4877288a6328203e76db788c200ae16e,1,1.516,473.22,0.00,0.00
question,WebQTest-12_5373d9d04da65179a41e5d4669db121e,1,0.874,250.17,0.00,0.00
question,WebQTest-12_64c67292548a2872e94c2d2162850e82,1,0.929,282.55,0.00,0.00
question,WebQTest-12_68d745a0657c86906382873e57294d6a,1,1.986,595.42,0.00,0.00
question,WebQTest-12_76ccde3aa94e7dca4f11f484f1369baf,1,1.605,473.25,0.00,0.00
question,WebQTest-12_7b54b31f3e5a6273f4fd2a20e565ec6d,1,0.837,247.27,0.00,0.00
question,WebQTest-12_96449ea99c483410641ffbbe84e44f1c,1,0.800,215.07,0.00,0.00
question,WebQTest-12_974c964a1a2810facfeb4b1a996e878a,1,2.017,596.32,0.00,0.00
question,WebQTest-12_a91de216aa67ef8beef840ad8ad1d1be,1,1.316,375.76,0.00,0.00
question,WebQTest-12_bd869b480bcbb83514b224fba0736b4a,1,1.635,504.11,0.00,0.00
question,WebQTest-12_c34cd4ed0ba2a29e97141049e26b47a2,1,2.333,727.57,0.00,0.00
question,WebQTest-12_c701ad2b5b8ef3f3ed26dd2ed8703d05,1,1.652,506.05,0.00,0.00
question,WebQTest-12_d1169a56d27042e1c0d2de5ef90cde43,1,1.410,436.46,0.00,0.00
question,WebQTest-12_e5e8ef01173e0c22da7839a4038a146c,1,1.577,471.29,0.00,0.00
question,WebQTest-1301_020f93c678f201a55199a0c40d829467,1,1.001,311.11,0.00,0.00
question,WebQTest-1301_0b65780e61d7cbd40456cde787327ceb,1,1.300,408.87,0.00,0.00
question,WebQTest-1301_2041223735beb04c13089b0f2150fbf5,1,1.015,282.31,0.00,0.00
question,WebQTest-1301_24c13551b792ceb6ce65520d29b87c61,1,0.956,277.86,0.00,0.00
question,WebQTest-1301_5714a7a5f1feec1348045800b0c0c28c,1,2.127,630.44,0.00,0.00
question,WebQTest-1301_a60bea07c81573c12c93e515b219c8b0,1,1.104,342.27,0.00,0.00
question,WebQTest-1301_a70c7fd7ecc2aef83d0149355d69ddd1,1,0.942,282.44,0.00,0.00
question,WebQTest-1301_fd1f7b01422ed781a7688691219784f8,1,0.922,277.46,0.00,0.00
question,WebQTest-1306_1514f1e9c4973110faa2ad25559c0435,1,1.349,403.89,0.00,0.00
question,WebQTest-1306_213cbfafc2612b42c5f8efe85c3532c5,1,0.892,282.30,0.00,0.00
question,WebQTest-1306_47315d2d91da33c8fb1812320919e970,1,1.282,409.87,0.00,0.00
question,WebQTest-1306_71c93aa9a352e8738c065f3887d01c12,1,1.050,313.51,0.00,0.00
question,WebQTest-1306_c02d5217df72436cdfe8bb9a4f9264e4,1,0.816,601.84,0.00,0.00
question,WebQTest-1307_727248e493325c05836e5bb159c752d5,1,1.027,314.56,0.00,0.00
question,WebQTest-1316_0b5041659b357b7246a23ac30d7f6b29,1,1.096,340.19,0.00,0.00
question,WebQTest-1316_15cace8f716a3aed245757a5874e1bb0,1,1.662,503.95,0.00,0.00
question,WebQTest-1316_530c9b007d2e31175fa177ade7ae14ab,1,1.119,346.09,0.00,0.00
question,WebQTest-1316_5f339cc3a7979a71dd90298c8532b71b,1,1.396,409.20,0.00,0.00
question,WebQTest-1316_75053cb108f036148b2e5631983f76a3,1,1.136,343.02,0.00,0.00
question,WebQTest-1320_0fca6c57b860f8b3ab53d092652cb048,1,0.766,250.16,0.00,0.00
question,WebQTest-1320_2492cfb926882a4bf9c580ba4f7c700a,1,0.873,280.24,0.00,0.00
question,WebQTest-1320_7184f912d2d2be62d80145479b29c642,1,0.924,280.44,0.00,0.00
question,WebQTest-1320_c5498ca807d2e1ec30d4c8fdd41f0bf7,1,0.675,185.62,0.00,0.00
question,WebQTest-1337_0b5041659b357b7246a23ac30d7f6b29,1,1.084,343.26,0.00,0.00
question,WebQTest-1337_5f339cc3a7979a71dd90298c8532b71b,1,1.352,405.93,0.00,0.00
question,WebQTest-1337_75053cb108f036148b2e5631983f76a3,1,1.086,340.92,0.00,0.00
question,WebQTest-1337_a5443b45fd60bc5a46cdf273e2b79107,1,1.263,378.14,0.00,0.00
