t,gpu0_w
1786362851.894,316.73
1786362851.995,316.603
1786362852.096,316.483
1786362852.197,316.285
1786362852.298,315.178
1786362852.399,316.75
1786362852.500,316.409
1786362852.601,314.403
1786362852.702,314.234
1786362852.803,314.18
1786362852.904,314.168
1786362853.005,314.113
1786362853.105,314.18
1786362853.206,314.224
1786362853.306,314.148
1786362853.407,315.297
1786362853.507,315.327
1786362853.610,315.381
1786362853.711,315.913
1786362853.812,315.997
1786362853.913,315.997
1786362854.014,315.953
1786362854.115,315.972
1786362854.216,315.952
1786362854.317,316.061
1786362854.418,316.112
1786362854.518,315.94
1786362854.619,315.932
1786362854.720,315.996
1786362854.820,315.94
1786362854.921,315.877
1786362855.021,316.001
1786362855.121,316.188
1786362855.222,316.365
1786362855.322,316.441
1786362855.425,316.435
1786362855.529,316.578
1786362855.633,316.615
1786362855.737,316.72
1786362855.837,316.703
1786362855.941,318.183
1786362856.045,318.275
1786362856.145,318.275
1786362856.246,315.963
1786362856.347,315.965
1786362856.450,315.761
1786362856.554,315.698
1786362856.658,315.751
1786362856.761,315.786
1786362856.862,315.751
1786362856.962,315.616
1786362857.065,315.671
1786362857.167,315.682
1786362857.269,315.708
1786362857.370,317.918
1786362857.474,317.803
1786362857.575,315.426
1786362857.679,315.625
1786362857.783,315.345
1786362857.886,315.379
1786362857.990,315.349
1786362858.094,315.455
1786362858.197,315.421
1786362858.302,315.405
1786362858.404,315.276
1786362858.508,315.398
1786362858.610,315.512
1786362857.566,318.083
1786362857.667,318.028
1786362857.770,317.064
1786362857.874,317.028
1786362857.975,316.46
1786362858.077,316.579
1786362858.181,316.772
1786362858.284,316.748
1786362858.388,316.823
1786362858.492,316.798
1786362858.596,316.821
1786362858.697,316.81
1786362858.801,315.497
1786362858.905,316.741
1786362859.009,316.639
1786362859.109,317.313
1786362859.209,317.28
1786362859.310,317.159
1786362859.411,317.257
1786362859.511,317.337
1786362859.612,315.932
1786362859.713,315.937
1786362859.813,316.0
1786362859.913,317.323
1786362860.014,317.279
1786362860.114,317.416
1786362860.215,317.414
1786362860.319,317.624
1786362860.419,316.145
1786362860.520,316.175
1786362860.624,316.243
1786362860.725,317.696
1786362860.829,317.797
1786362860.932,317.701
1786362861.036,317.784
1786362861.136,317.72
1786362861.237,317.68
1786362861.338,317.712
1786362861.442,317.485
1786362861.542,316.338
1786362861.646,316.235
1786362861.748,316.058
1786362861.852,315.945
1786362861.952,316.025
1786362862.055,315.979
1786362862.158,315.797
1786362862.259,315.873
1786362862.361,315.873
1786362862.465,315.639
1786362862.569,315.488
1786362862.672,315.413
1786362862.775,317.952
1786362862.878,317.953
1786362862.979,318.012
1786362863.083,316.6
1786362863.186,316.319
1786362863.288,316.338
1786362863.391,316.563
1786362863.495,316.591
1786362863.599,316.788
1786362863.699,316.869
1786362863.803,316.89
1786362863.907,316.908
1786362864.011,316.869
1786362864.112,316.904
1786362864.216,318.435
1786362864.320,318.458
1786362864.423,318.529
1786362864.527,318.553
1786362864.631,318.589
1786362864.735,318.533
1786362864.839,318.6
1786362864.943,318.639
1786362865.047,318.567
1786362865.148,318.662
1786362865.249,318.647
1786362865.351,317.113
1786362865.454,317.032
1786362865.558,316.966
1786362865.662,316.685
1786362865.766,316.572
1786362865.870,316.627
1786362865.974,316.74
1786362866.078,316.686
1786362866.181,316.789
1786362866.284,316.704
1786362866.387,316.718
1786362866.487,318.159
1786362866.591,316.838
1786362866.695,316.85
1786362866.799,315.782
1786362866.903,315.787
1786362867.005,315.929
1786362867.109,315.85
1786362867.212,315.867
1786362867.316,315.815
1786362867.420,315.807
1786362867.523,315.699
1786362867.623,315.71
1786362867.724,315.644
1786362867.824,315.6
1786362867.925,316.743
1786362868.025,316.028
1786362868.128,315.819
1786362868.231,315.86
1786362868.335,315.728
1786362868.436,315.802
1786362868.536,314.094
1786362868.636,314.127
1786362868.739,314.092
1786362868.843,315.548
1786362868.945,315.555
1786362869.049,315.558
1786362869.149,316.287
1786362869.253,316.357
1786362869.354,316.224
1786362869.454,316.351
1786362869.555,316.451
1786362869.655,318.178
1786362869.758,316.59
1786362869.862,316.565
1786362869.964,316.818
1786362870.068,316.808
1786362870.169,316.753
1786362870.273,316.652
1786362870.377,316.594
1786362870.480,316.46
1786362870.583,316.532
1786362870.684,316.416
1786362870.788,314.878
1786362870.891,316.527
1786362870.995,316.602
1786362871.099,316.293
1786362871.200,316.333
1786362871.304,316.27
1786362871.408,316.553
1786362871.512,316.546
1786362871.616,316.725
1786362871.718,316.637
1786362871.821,314.957
1786362871.921,315.711
1786362872.025,315.733
1786362872.129,315.8
1786362872.232,315.873
1786362872.336,315.843
1786362872.436,316.01
1786362872.540,315.823
1786362872.644,315.857
1786362872.745,316.045
1786362872.849,316.025
1786362872.950,317.728
1786362873.053,318.541
1786362873.157,318.525
1786362873.260,318.527
1786362873.362,316.67
1786362873.463,316.749
1786362873.567,316.715
1786362873.671,316.702
1786362873.775,316.59
1786362873.879,316.44
1786362873.981,316.505
1786362874.085,316.311
1786362874.185,316.5
1786362874.289,316.606
1786362874.390,314.788
1786362874.493,316.507
1786362874.597,316.597
1786362874.697,316.597
1786362874.801,316.547
1786362874.905,316.737
1786362875.008,316.737
1786362875.109,316.614
1786362875.209,315.115
1786362875.313,315.165
1786362875.417,314.957
1786362875.518,314.713
1786362875.622,316.508
1786362875.723,316.602
1786362875.827,316.57
1786362875.931,316.638
1786362876.035,316.625
1786362876.138,316.609
1786362876.240,316.676
1786362876.341,318.26
1786362876.444,318.514
1786362876.545,318.537
1786362876.648,316.952
1786362876.750,316.934
1786362876.853,317.076
1786362876.955,316.973
1786362877.056,316.883
1786362877.156,315.771
1786362877.257,315.794
1786362877.360,315.802
1786362877.460,315.78
1786362877.563,315.764
1786362877.667,315.899
1786362877.768,317.617
1786362877.871,315.783
1786362877.972,315.165
1786362878.075,315.125
1786362878.179,315.255
1786362878.282,316.363
1786362878.385,316.375
1786362878.486,316.406
1786362878.590,316.431
1786362878.694,316.342
1786362878.797,316.265
1786362878.901,314.934
1786362879.002,316.799
1786362879.106,317.325
1786362879.210,317.323
1786362879.314,317.107
1786362879.418,316.993
1786362879.520,316.913
1786362879.624,316.96
1786362879.728,316.849
1786362879.831,316.767
1786362879.935,316.559
1786362880.039,317.804
1786362880.143,315.453
1786362880.247,315.356
1786362880.350,315.297
1786362880.454,315.423
1786362880.556,315.439
1786362880.660,315.67
1786362880.764,315.33
1786362880.868,315.299
1786362880.971,313.861
1786362881.075,313.891
1786362881.179,313.935
1786362881.283,316.327
1786362881.384,316.417
1786362881.488,316.484
1786362881.588,316.47
1786362881.692,316.533
1786362881.796,316.016
1786362881.900,316.346
1786362882.004,316.436
1786362882.105,317.911
1786362882.209,315.867
1786362882.312,314.76
1786362882.416,314.618
1786362882.520,314.577
1786362882.624,314.46
