scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1395,1,1.203,374.96,0.00,0.00
question,WebQTest-1396,1,1.558,469.45,0.00,0.00
question,WebQTest-1398,1,1.556,468.00,0.00,0.00
question,WebQTest-1399,1,1.178,343.79,0.00,0.00
question,WebQTest-14,1,1.624,493.86,0.00,0.00
question,WebQTest-1402,1,0.712,218.18,0.00,0.00
question,WebQTest-1403,1,1.030,312.31,0.00,0.00
question,WebQTest-1405,1,1.206,371.82,0.00,0.00
question,WebQTest-1408,1,1.556,471.10,0.00,0.00
question,WebQTest-1409,1,1.191,342.38,0.00,0.00
question,WebQTest-141,1,0.942,275.88,0.00,0.00
question,WebQTest-1410,1,1.940,600.48,0.00,0.00
question,WebQTest-1414,1,1.008,309.40,0.00,0.00
question,WebQTest-1416,1,1.315,374.74,0.00,0.00
question,WebQTest-1417,1,0.955,316.01,0.00,0.00
question,WebQTest-1418,1,0.974,281.99,0.00,0.00
question,WebQTest-1419,1,1.222,374.76,0.00,0.00
question,WebQTest-142,1,1.034,313.80,0.00,0.00
question,WebQTest-1420,1,0.887,249.96,0.00,0.00
question,WebQTest-1421,1,0.905,283.33,0.00,0.00
question,WebQTest-1422,1,0.712,218.64,0.00,0.00
question,WebQTest-1423,1,0.680,215.69,0.00,0.00
question,WebQTest-1424,1,1.349,406.74,0.00,0.00
question,WebQTest-1425,1,0.837,243.22,0.00,0.00
question,WebQTest-1426,1,0.694,187.31,0.00,0.00
question,WebQTest-1427,1,0.765,248.48,0.00,0.00
question,WebQTest-1428,1,0.816,248.40,0.00,0.00
question,WebQTest-1429,1,0.717,219.08,0.00,0.00
question,WebQTest-1432,1,1.082,311.60,0.00,0.00
question,WebQTest-1433,1,1.380,435.30,0.00,0.00
question,WebQTest-1434,1,1.213,698.21,0.00,0.00
question,WebQTest-1435,1,0.853,249.46,0.00,0.00
question,WebQTest-1436,1,0.747,246.71,0.00,0.00
question,WebQTest-1441,1,1.188,342.19,0.00,0.00
question,WebQTest-1442,1,0.745,220.01,0.00,0.00
question,WebQTest-1443,1,0.990,315.97,0.00,0.00
question,WebQTest-1445,1,0.839,251.51,0.00,0.00
question,WebQTest-1446,1,0.816,247.82,0.00,0.00
question,WebQTest-1447,1,1.171,341.89,0.00,0.00
question,WebQTest-1448,1,0.642,184.69,0.00,0.00
question,WebQTest-1449,1,0.994,285.56,0.00,0.00
question,WebQTest-145,1,0.748,251.87,0.00,0.00
question,WebQTest-1452,1,0.994,310.61,0.00,0.00
question,WebQTest-1453,1,0.792,214.15,0.00,0.00
question,WebQTest-1454,1,1.117,342.19,0.00,0.00
question,WebQTest-1455,1,0.854,251.17,0.00,0.00
question,WebQTest-1456,1,0.675,218.58,0.00,0.00
question,WebQTest-1457,1,0.642,186.69,0.00,0.00
question,WebQTest-1458,1,1.096,343.02,0.00,0.00
question,WebQTest-1459,1,1.292,377.04,0.00,0.00
question,WebQTest-146,1,0.818,249.73,0.00,0.00
question,WebQTest-1460,1,1.114,341.38,0.00,0.00
question,WebQTest-1461,1,1.239,376.68,0.00,0.00
question,WebQTest-1462,1,0.818,250.57,0.00,0.00
question,WebQTest-1463,1,0.825,245.65,0.00,0.00
question,WebQTest-1464,1,1.200,338.73,0.00,0.00
question,WebQTest-1465,1,0.991,311.89,0.00,0.00
question,WebQTest-1467,1,0.709,217.26,0.00,0.00
question,WebQTest-1468,1,0.520,151.45,0.00,0.00
question,WebQTest-147,1,0.835,252.31,0.00,0.00
question,WebQTest-1470,1,0.938,281.82,0.00,0.00
question,WebQTest-1471,1,0.928,279.14,0.00,0.00
question,WebQTest-1472,1,0.837,247.98,0.00,0.00
question,WebQTest-1473,1,0.625,181.69,0.00,0.00
question,WebQTest-1475,1,0.958,281.40,0.00,0.00
question,WebQTest-1477,1,1.311,408.52,0.00,0.00
question,WebQTest-1478,1,1.313,749.32,0.00,0.00
question,WebQTest-1479,1,0.998,275.80,0.00,0.00
question,WebQTest-1480,1,0.957,315.76,0.00,0.00
question,WebQTest-1481,1,0.886,248.95,0.00,0.00
question,WebQTest-1482,1,0.850,250.74,0.00,0.00
question,WebQTest-1483,1,0.962,309.59,0.00,0.00
question,WebQTest-1484,1,1.043,311.46,0.00,0.00
question,WebQTest-1485,1,0.744,218.58,0.00,0.00
question,WebQTest-1486,1,0.727,218.57,0.00,0.00
question,WebQTest-1487,1,0.851,250.59,0.00,0.00
question,WebQTest-1488,1,1.634,495.17,0.00,0.00
question,WebQTest-1489,1,0.660,186.62,0.00,0.00
question,WebQTest-149,1,0.834,250.28,0.00,0.00
question,WebQTest-1490,1,0.693,219.61,0.00,0.00
question,WebQTest-1493,1,0.923,277.40,0.00,0.00
question,WebQTest-1494,1,0.712,218.19,0.00,0.00
question,WebQTest-1495,1,1.221,374.18,0.00,0.00
question,WebQTest-1496,1,0.911,275.01,0.00,0.00
question,WebQTest-1499,1,1.449,411.06,0.00,0.00
question,WebQTest-150,1,0.657,183.23,0.00,0.00
question,WebQTest-1500,1,0.832,252.35,0.00,0.00
question,WebQTest-1501,1,0.816,218.00,0.00,0.00
question,WebQTest-1502,1,0.804,247.97,0.00,0.00
question,WebQTest-1503,1,0.780,249.01,0.00,0.00
question,WebQTest-1504,1,0.999,277.39,0.00,0.00
question,WebQTest-1506,1,1.272,409.63,0.00,0.00
question,WebQTest-1507,1,1.029,307.98,0.00,0.00
question,WebQTest-1508,1,1.166,344.50,0.00,0.00
question,WebQTest-1510,1,1.033,312.79,0.00,0.00
question,WebQTest-1513,1,1.274,377.10,0.00,0.00
question,WebQTest-1515,1,0.958,311.37,0.00,0.00
question,WebQTest-1516,1,0.873,249.77,0.00,0.00
question,WebQTest-1518,1,0.910,280.03,0.00,0.00
question,WebQTest-1519,1,0.801,248.84,0.00,0.00
question,WebQTest-1520,1,0.736,217.56,0.00,0.00
question,WebQTest-1522,1,1.064,311.26,0.00,0.00
question,WebQTest-1523,1,-0.141,314.27,0.00,0.00
question,WebQTest-1524,1,0.783,218.30,0.00,0.00
question,WebQTest-1525,1,1.029,314.60,0.00,0.00
question,WebQTest-1526,1,0.896,272.66,0.00,0.00
question,WebQTest-1527,1,0.710,218.81,0.00,0.00
question,WebQTest-1528,1,1.530,441.86,0.00,0.00
question,WebQTest-1529,1,1.115,346.05,0.00,0.00
question,WebQTest-153,1,0.028,342.96,0.00,0.00
question,WebQTest-1531,1,1.148,342.03,0.00,0.00
question,WebQTest-1533,1,0.839,247.54,0.00,0.00
question,WebQTest-1534,1,0.955,315.34,0.00,0.00
question,WebQTest-1535,1,0.875,248.25,0.00,0.00
question,WebQTest-1536,1,0.750,214.24,0.00,0.00
question,WebQTest-1537,1,1.188,379.39,0.00,0.00
question,WebQTest-1538,1,1.188,342.71,0.00,0.00
question,WebQTest-1539,1,0.942,282.76,0.00,0.00
question,WebQTest-154,1,0.958,281.60,0.00,0.00
question,WebQTest-1540,1,0.517,152.61,0.00,0.00
question,WebQTest-1541,1,1.063,342.72,0.00,0.00
question,WebQTest-1542,1,0.892,249.79,0.00,0.00
question,WebQTest-1543,1,1.540,471.40,0.00,0.00
question,WebQTest-1544,1,1.348,406.60,0.00,0.00
question,WebQTest-1546,1,0.851,280.02,0.00,0.00
question,WebQTest-1547,1,0.921,251.88,0.00,0.00
question,WebQTest-1548,1,0.957,310.59,0.00,0.00
question,WebQTest-155,1,0.922,279.64,0.00,0.00
question,WebQTest-1550,1,0.990,280.99,0.00,0.00
question,WebQTest-1551,1,1.031,312.45,0.00,0.00
question,WebQTest-1553,1,1.625,505.54,0.00,0.00
question,WebQTest-1554,1,0.745,215.58,0.00,0.00
question,WebQTest-1555,1,0.783,239.99,0.00,0.00
question,WebQTest-1556,1,0.977,279.77,0.00,0.00
question,WebQTest-1557,1,1.159,344.17,0.00,0.00
question,WebQTest-1558,1,0.643,220.57,0.00,0.00
question,WebQTest-1559,1,0.402,441.43,0.00,0.00
question,WebQTest-156,1,0.680,218.14,0.00,0.00
question,WebQTest-1560,1,0.765,248.41,0.00,0.00
question,WebQTest-1561,1,1.029,313.10,0.00,0.00
question,WebQTest-1562,1,2.601,789.47,0.00,0.00
question,WebQTest-1563,1,1.167,338.11,0.00,0.00
question,WebQTest-1564,1,0.870,282.88,0.00,0.00
question,WebQTest-1565,1,0.658,187.42,0.00,0.00
question,WebQTest-1566,1,1.241,376.79,0.00,0.00
question,WebQTest-1567,1,0.833,250.85,0.00,0.00
question,WebQTest-1568,1,0.796,250.54,0.00,0.00
question,WebQTest-1569,1,0.679,175.09,0.00,0.00
question,WebQTest-157,1,0.852,250.21,0.00,0.00
question,WebQTest-1570,1,0.797,247.95,0.00,0.00
question,WebQTest-1571,1,0.797,250.63,0.00,0.00
question,WebQTest-1572,1,1.565,467.26,0.00,0.00
question,WebQTest-1573,1,1.438,439.32,0.00,0.00
question,WebQTest-1574,1,1.050,305.46,0.00,0.00
question,WebQTest-1575,1,1.715,501.94,0.00,0.00
