t,gpu0_w
1786361230.537,313.002
1786361230.641,312.792
1786361230.745,312.825
1786361230.849,312.948
1786361230.954,314.975
1786361231.058,314.925
1786361231.162,314.88
1786361231.266,315.16
1786361231.366,313.677
1786361231.470,313.614
1786361231.574,313.697
1786361231.678,315.402
1786361231.780,315.401
1786361231.884,315.438
1786361231.988,315.426
1786361232.092,315.32
1786361232.196,314.206
1786361232.297,312.861
1786361232.401,312.578
1786361232.505,314.065
1786361232.609,314.093
1786361232.714,314.109
1786361232.818,314.009
1786361232.922,313.894
1786361233.026,313.884
1786361233.130,313.802
1786361233.233,311.812
1786361233.337,312.901
1786361233.437,314.326
1786361233.541,314.375
1786361233.646,314.314
1786361233.750,314.316
1786361233.852,314.284
1786361233.956,314.14
1786361234.060,314.335
1786361234.165,314.494
1786361234.265,312.937
1786361234.369,314.851
1786361234.473,314.898
1786361234.577,315.045
1786361234.680,315.042
1786361234.784,315.188
1786361234.887,315.277
1786361234.991,315.326
1786361235.094,315.453
1786361235.198,315.412
1786361235.299,312.903
1786361235.403,314.554
1786361235.506,314.814
1786361235.610,314.919
1786361235.713,314.862
1786361235.817,315.126
1786361235.921,315.202
1786361236.024,315.164
1786361236.128,315.246
1786361236.228,313.746
1786361236.332,314.023
1786361236.435,316.444
1786361236.539,316.382
1786361236.642,316.35
1786361236.746,316.255
1786361236.849,316.143
1786361236.953,315.953
1786361237.056,315.895
1786361237.160,315.976
1786361237.263,315.955
1786361237.367,316.329
1786361237.470,315.776
1786361237.574,315.689
1786361237.677,315.783
1786361237.779,315.693
1786361237.882,315.662
1786361237.983,315.16
1786361238.086,315.204
1786361238.187,315.104
1786361238.290,313.455
1786361238.394,313.347
1786361238.494,314.416
1786361238.598,314.708
1786361238.701,314.789
1786361238.805,314.788
1786361238.908,314.785
1786361239.011,314.734
1786361239.115,315.31
1786361239.218,313.476
1786361239.321,313.571
1786361239.425,315.178
1786361239.528,315.22
1786361239.631,315.331
1786361239.735,315.269
1786361239.838,315.254
1786361239.942,315.203
1786361240.045,315.153
1786361240.147,313.107
1786361240.251,312.991
1786361240.354,314.837
1786361240.458,314.704
1786361240.559,314.761
1786361239.504,314.751
1786361239.606,314.652
1786361239.709,314.838
1786361239.810,313.191
1786361239.913,313.356
1786361240.017,313.394
1786361240.120,315.631
1786361240.223,315.782
1786361240.327,315.692
1786361240.430,315.72
1786361240.534,315.733
1786361240.635,313.332
1786361240.738,313.329
1786361240.842,313.259
1786361240.945,314.981
1786361241.049,314.864
1786361241.150,314.873
1786361241.253,314.868
1786361241.354,312.728
1786361241.456,311.852
1786361241.559,311.867
1786361241.663,311.822
1786361241.766,314.258
1786361241.870,314.335
1786361241.973,314.268
1786361242.077,314.281
1786361242.180,314.139
1786361242.281,313.768
1786361242.384,312.59
1786361242.488,314.585
1786361242.592,315.515
1786361242.695,315.554
1786361242.799,315.746
1786361242.900,315.747
1786361243.000,315.67
1786361243.101,315.703
1786361243.202,315.703
1786361243.302,315.567
1786361243.402,315.748
1786361243.503,316.151
1786361243.603,316.524
1786361243.703,315.935
1786361243.803,315.875
1786361243.904,315.772
1786361244.004,315.621
1786361244.105,315.577
1786361244.206,315.606
1786361244.306,315.7
1786361244.407,314.256
1786361244.507,314.228
1786361244.608,314.29
1786361244.708,314.964
1786361244.809,315.602
1786361244.913,315.591
1786361245.017,315.538
